source_url,target_url,status_code,reason
/sturgis-sd-campgrounds,/stay,301,Keyword alias
/rv-park-sturgis-sd,/stay/rv-sites,301,Keyword alias
/rv-park-sturgis,/stay/rv-sites,301,Keyword alias
/campground-near-mount-rushmore,/,301,Keyword alias
/mount-rushmore-camping,/stay,301,Keyword alias
/black-hills-rv-park,/stay/rv-sites,301,Keyword alias
/black-hills-campground,/,301,Keyword alias
/cabins-sturgis-sd,/stay/cabins,301,Keyword alias
/cabins-sturgis,/stay/cabins,301,Keyword alias
/cabins-near-mount-rushmore,/stay/cabins,301,Keyword alias
/tent-camping-black-hills,/stay/tent-camping,301,Keyword alias
/tent-camping-near-mount-rushmore,/stay/tent-camping,301,Keyword alias
# Events / rally → new dedicated hubs
/sturgis-bike-rally,/sturgis-rally,301,Rally keyword alias
/events/sturgis-rally,/sturgis-rally,301,Old subpath
/events/sturgis-rally/rates,/rally-rates,301,Old subpath
/events/car-show,/events#car-show,301,Keep car show on events hub
/events/weddings,/weddings-groups,301,Weddings dedicated hub
/classic-car-show,/events#car-show,301,Car show alias
/sturgis,/sturgis-rally,301,City alias
/rally,/sturgis-rally,301,Rally short alias
/car-show,/events#car-show,301,Car show alias
/weddings,/weddings-groups,301,Weddings short alias
/groups,/weddings-groups,301,Groups short alias
/group-camping,/weddings-groups,301,Group camping alias
/wedding-venue,/weddings-groups,301,Venue alias
/monthly-rates,/monthly-rv-sites,301,Long-term alias
/long-term-rv,/monthly-rv-sites,301,Long-term alias
/long-term,/monthly-rv-sites,301,Long-term alias
/workamper,/monthly-rv-sites,301,Workamper alias
# Explore / attractions / guides
/things-to-do,/explore,301,Explore canonical
/things-to-do-near-mount-rushmore,/explore,301,Explore canonical (keyword)
/things-to-do-near-mount-rushmore-sd,/explore,301,Explore canonical
/things-to-do-near-sturgis,/explore,301,Explore canonical
/local-attractions,/explore,301,Explore canonical
/black-hills,/explore,301,Explore canonical
/mount-rushmore,/explore#mount-rushmore,301,Explore anchor
/itineraries,/black-hills-itinerary,301,Itinerary canonical
/itinerary,/black-hills-itinerary,301,Itinerary canonical
/black-hills-6-day-itinerary,/black-hills-itinerary,301,Itinerary alias
/attractions/:path*,/explore,301,Attractions subpath alias
/deadwood,/deadwood-day-trip,301,Deadwood guide canonical
/spearfish-canyon,/spearfish-canyon-guide,301,Spearfish guide canonical
/needles-highway,/needles-highway-guide,301,Needles guide canonical
/iron-mountain-road,/iron-mountain-road-guide,301,Iron Mountain guide canonical
/motorcycle-rides,/best-motorcycle-rides-near-sturgis,301,Rides hub canonical
/scenic-rides,/best-motorcycle-rides-near-sturgis,301,Rides hub canonical
/rides,/best-motorcycle-rides-near-sturgis,301,Rides hub canonical
# Map / info
/park,/map,301,Map alias
/directions,/map,301,Map alias
/location,/map,301,Map alias
/rules,/policies,301,Policies canonical
/about-us,/about,301,About canonical
/reviews,/about#reviews,301,About anchor
/faq,/contact#faq,301,Contact FAQ anchor
/faqs,/contact#faq,301,Contact FAQ anchor
/privacy,/legal,301,Legal canonical
/privacy-policy,/legal,301,Legal canonical
/terms,/legal,301,Legal canonical
/terms-of-use,/legal,301,Legal canonical
/accessibility,/ada,301,ADA canonical
# Amenity landing aliases
/pool,/amenities#pool,301,Amenities anchor
/beer-garden,/amenities#beer-garden,301,Amenities anchor
/hot-tub,/amenities#hot-tub,301,Amenities anchor
/hottub,/amenities#hot-tub,301,Amenities anchor
/game-room,/amenities#game-room,301,Amenities anchor
# Root alias
/campground,/,301,Root alias
